BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000041,09.01.2026,OF00000577,5*5 L PROFİL KÖŞEBENT (KÖPÜK),"7,500.00",MT,3.30,"24,750.00",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000041,09.01.2026,OF00000578,7*7 L PROFİL KÖŞEBENT (KÖPÜK),"3,000.00",MT,3.30,"9,900.00",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000041,09.01.2026,OF00001111,5*5 U PROFİL  KÖŞEBENT (KÖPÜK),"1,560.00",MT,7.26,"11,325.60",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
000000000000002,12.01.2026,1023000019,AKSESUAR POŞETİ 30*50,10.00,KG,120.00,"1,200.00",SELİM CAN GÜRSU – BERAPAK AMBALAJ TEMİZLİK ÜRÜNLERİ
000000000000019,13.01.2026,EV00001046,RULO NAYLON 175 CM EN,420.50,KG,55.00,"23,127.50",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000019,13.01.2026,EV00001109,RULO NAYLON 125*125cm,405.68,KG,62.50,"25,355.00",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000053,13.01.2026,OF00000909,3*3 U KÖŞEBENT,"8,000.00",MT,4.18,"33,440.00",TERMO YALITIM MAKİNA VE ÜRÜN SAN.TİC.LTD.ŞTİ.
