BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000006,19.01.2026,4104000149,RIVER SEHPA 90 A.CEVİZ AHŞAP-AKRİLİK,1.00,AD,"18,000.00","18,000.00",EKSEN CNC AHŞAP TASARIM MOB.SAN.TİC.LTD.ŞTİ.
000000000000006,19.01.2026,4105000133,RIVER TOPLANTI MASASI 270 A.CEVİZ AHŞAP-AKRİLİK,1.00,AD,"146,000.00","146,000.00",EKSEN CNC AHŞAP TASARIM MOB.SAN.TİC.LTD.ŞTİ.
000000000000005,16.01.2026,OF00000833,FUNGOS TOPLANTI MASASI FİBER DÖKÜM,10.00,AD,"18,000.00","180,000.00",ECHONOM SANATSAL DEKORASYON KOMPOZİT AKSESUAR İTH.İHR.SAN.VE TİC.LTD.ŞTİ.
000000000000006,07.01.2026,7000008297,OKUMA LAMBASI,80.00,AD,688.70,"55,095.94",LAMPART MODERN AYDINLATMA SAN.VE TİC.LTD.ŞTİ.
