BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BİRİM,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000005,12.01.2026,OF00006106,BOYAMA İŞİ GATE AYAK 50*20 PROFİL 580*432MM SİYAH RAL 9005 İNCE PÜTÜRLÜ,4.00,AD,65.00,260.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002334,BOYAMA İŞİ MERCURA BÜYÜK RAF 2MM BÜKÜMLÜ SAC (900*252*H332MM) INOX 7890,6.00,AD,150.00,900.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002336,BOYAMA İŞİ MERCURA KÜÇÜK RAF 2MM BÜKÜMLÜ SAC (480*252*H332MM) INOX 7890,6.00,AD,150.00,900.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002337,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI ÇERÇEVE PROFİL (1340*260*H40MM) INOX 7890,2.00,AD,70.00,140.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002338,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI AYAK SACI (332*85*H198MM) INOX 7890,4.00,AD,60.00,240.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002339,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI 5MM LE LAMA (150*40*H50MM) INOX 7890,4.00,AD,20.00,80.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002340,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI AYAK ALT SACI (728*606*H6MM) INOX 7890,2.00,AD,150.00,300.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002341,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI AYAK TABLA BAĞLANTI SACI (500*200*H5MM) INOX 7890,2.00,AD,50.00,100.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002342,BOYAMA İŞİ MERCURA ÇALIŞMA MASASI PERDE BAĞLANTI DEMİRİ (190*43*H50MM) INOX 7890,4.00,AD,50.00,200.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002343,BOYAMA İŞİ MERCURA KONSOL 40*20*2MM PRF'DEN (1550*20*H40MM) INOX 7890,2.00,AD,60.00,120.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002344,BOYAMA İŞİ MERCURA KONSOL AYAK TABLA BAĞLANTI SACI (320*184*H5MM) INOX 7890,4.00,AD,30.00,120.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002345,BOYAMA İŞİ MERCURA KONSOL AYAK ALT SACI (438*364*H6MM) INOX 7890,4.00,AD,100.00,400.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002346,BOYAMA İŞİ MERCURA BÜYÜK SEHPA AYAK SAC (255*60*H400MM) INOX 7890,2.00,AD,75.00,150.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002347,BOYAMA İŞİ MERCURA BÜYÜK SEHPA 6MM BÜKÜMLÜ SAC (893*303*H350MM) INOX 7890,2.00,AD,190.00,380.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002348,BOYAMA İŞİ MERCURA TUWA KTPLK 2MM BÜKÜMLÜ RAF SACI (280*250*H332MM) INOX 7890,5.00,AD,100.00,500.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002349,BOYAMA İŞİ MERCURA YAN SEHPA 6MM BÜKÜMLÜ SAC (450*340*H500MM) INOX 7890,2.00,AD,200.00,400.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002350,BOYAMA İŞİ MERCURA KONSOL AYAK SACI (190*70*H195MM) INOX 7890,8.00,AD,50.00,400.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002351,"BOYAMA İŞİ MERCURA TOPLANTI 40*20*1,5MM PRFL'DEN (2170*244*H40MM) ÇERÇEVE INOX 7890",2.00,AD,140.00,280.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002352,BOYAMA İŞİ MERCURA TUWA KTPLK SIVAMA SACI (DIŞ Ø118*İÇ Ø80*H41MM) INOX 7890,6.00,AD,20.00,120.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000031,30.01.2026,OF00002353,BOYAMA İŞİ MERCURA TUWA KTPLK BORU PRFL (Ø76*2150) INOX 7890,1.00,AD,130.00,130.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,EV00000208,EMAKS MILANO AYAK 200mm EYS.1330.2000.b00104 MAT SİYAH,102.00,AD,20.00,"2,040.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,AD,500.00,"2,000.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,4.00,AD,400.00,"1,600.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,300.00,"2,400.00",NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,5.00,AD,53.00,265.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,2.00,AD,40.00,80.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
000000000000035,31.01.2026,MHT0000014,MUHTELİF TOZ BOYA İŞÇİLİĞİ,8.00,AD,53.00,424.00,NURİ ÜÇOK-BOYARSAN ELEKTROSTATİK TOZ BOYA SANAY
