BELGE_NO,TARIH,STOK_KODU,STOK_ADI,MIKTAR,BR_FIYAT,TOPLAM_FIYAT,CARI_ISIM
000000000000062,03.02.2026,OF00000622,BASKILI GRİPİN NAYLON KAĞITLI 340gr 160cm EN,811.26,78.00,"63,278.28",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000072,06.02.2026,OF00000187,ŞEFFAF AMBALAJ BANTI 45*100,"1,200.00",28.00,"33,600.00",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000081,10.02.2026,OF00000622,BASKILI GRİPİN NAYLON KAĞITLI 340gr 160cm EN,909.60,78.00,"70,948.80",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000086,11.02.2026,OF00000622,BASKILI GRİPİN NAYLON KAĞITLI 340gr 160cm EN,305.40,78.00,"23,821.20",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000119,25.02.2026,OF00000631,PAT PAT NAYLON NATUREL,"1,042.66",52.50,"54,739.65",BAŞKENT AY AMBALAJ PLASTİK ÜRETİM SAN.VE TİC.LTD.ŞTİ.
000000000000457,23.02.2026,OF00000627,STRECH NAYLON 25 MİCRON 25 CM MAKİNE İÇİN,"1,003.00",72.22,"72,432.20",MGER STREÇ PLASTİK AMBALAJ SANAYİ VE TİC.LTD.ŞTİ.
